Publication Type,Authors,Book Authors,Book Editors,Author Full Names,Book Author Full Names,Article Title,Source Title,Book Series Title,Abstract,Publication Year,Volume,Issue,Start Page,End Page
J,"Schrock, JW; Cydulka, RK",,,"Schrock, Jon W.; Cydulka, Rita K.",,Lifelong learning,EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,,"Early American physician education lacked quality and consistency. Poorly funded institutions with weak curricula and little patient contact before graduation trained our earliest doctors. With the advent of the twentieth century, a reformation of medical education took place that created the foundation of our modem American medical education system. The importance of physician education increased, leading to the production of specialty boards and requirements for continuing medical education and culminating in a continuous certification process now required of all specialties including the American Board of Emergency Medicine. While the utility of continuing medical education has been questioned, technological advances, the Internet, and improved education techniques are helping physicians practice modem medicine in a time of rapidly expanding science.",2006,24,3,785,+
J,"BELANGER, P",,,"BELANGER, P",,LIFELONG LEARNING - THE DIALECTICS OF LIFELONG EDUCATIONS,INTERNATIONAL REVIEW OF EDUCATION,,"This article examines the emergence of different patterns of lifelong education and at the same time gives an overall view of how the various contributions to this special issue add to our understanding of the process of change that is taking place in the educational arena. The article is structured around three main themes. First, it addresses the changing relationship between initial education, adult education and the general learning environments. As the author shows, these three elements form a complex and interacting web of influences, which can be fully understood only as a totality. Secondly, under the heading of ''The Dialectics at work behind and in education,'' the article discusses such factors as the changing patterns of employment and non-working time and the disparity between social demand for education and the institutional response. Thirdly, the author deals with the economy of lifelong learning and the changing role of the state in education. Overall, the author presents a picture of profound and widespread transition, in which many different types of learning society are emerging.",1994,40,3-5,353,381
C,"Bostan, CG",,"Vasile, C","Bostan, Carmen-Gabriela",,Emergencies in lifelong learning,ADULT EDUCATION IN UNIVERSITIES: LOCAL AND REGIONAL PERSPECTIVES,Procedia Social and Behavioral Sciences,"25 years after the revolution, there are more people who have left school early and not having a job or a profession constitutes a danger to society and even to the country safety. Abandonment of formal education is met frequently among children from poor or disorganized families and these youngsters become usually subjects to be recruited by the organized crime. Costs for recovery and isolation are important and correlate to a significant budgetary effort. This article presents possible solutions: improving the public education and training to meet specific individual and collective security; development of a sustainable society; resumption of instruction, education and training for all individuals to stability and security of their families; mandatory recovery of those who have abandoned one of several forms of general education. Expectations are: elimination of illiteracy, reducing crime, building a prosperous society, ability to pay the foreign debts. (C) 2014 Elsevier Ltd. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licences/by-nc-nd/3.0/).",2014,142,,268,273
B,"Al Mosawi, AJ",,"Caltone, MP","Al Mosawi, Aamir Jalal",,LIFELONG LEARNING FOR PHYSICIANS,HANDBOOK OF LIFELONG LEARNING DEVELOPMENTS,Education in a Competitive and Globalizing World,"Introduction The primary concept of lifelong learning is that persons have learning opportunities at all ages and in numerous contexts: at work, at home and through leisure activities, not just through formal channels such as school and higher education. Lifelong education is a pedagogy often accomplished through distance learning or e-learning continuing education, or correspondence courses. From the professional point of view, it includes postgraduate programs for those who want to improve their qualifications, bring their skills up to date or re-train for a new line of work.",2010,,,213,237
J,"Cuffy, V; Tribe, J; Airey, D",,,"Cuffy, Violet; Tribe, John; Airey, David",,LIFELONG LEARNING FOR TOURISM,ANNALS OF TOURISM RESEARCH,,"This paper examines the provision of education and training for tourism in The Commonwealth of Dominica, a destination heavily dependent on tourism. It provides an original consideration of lifelong learning for tourism. It reports the perspectives of major stakeholders, who reveal that tourism is taught intermittently as one topic, among others, during formal schooling, followed by a strong instrumental focus in post-secondary education and training. Stakeholders interviewed in this study see this approach as inappropriate. They indicate that a lifelong spiralled approach with opportunities spanning all stages of both formal and informal education and training would be more suitable. The paper presents possible approaches to achieving this.",2012,39,3,1402,1424
C,"Laal, M; Laal, A; Aliramaei, A",,"Laborda, JC; Ozdamli, F; Maasoglu, Y","Laal, Marjan; Laal, Ashkan; Aliramaei, Arsalan",,Continuing education; lifelong learning,5TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES,Procedia Social and Behavioral Sciences,"The term of lifelong learning stands for a consistency in learning over one's life in and beyond formal educational settings that means there are many common ways in which learning takes place. Like children and adolescences that have developmental needs as learning needs, adults do too. Today, there is an increasingly important need to continue education and acquire necessary skills to adapt to the ever-changing world. It is the purpose of this paper to enable one to realize the concept of the term, and understand deeply the importance of gaining knowledge and being updated through presenting its potential benefits. The paper describes the three types of: formal, non-formal and informal learning. Continuing education leads to skills; academic and personal developments, which are discussed in the article. (C) 2013 The Authors. Published by Elsevier Ltd.",2014,116,,4052,4056
B,,"Ohidy, A",,,"Ohidy, A",Lifelong Learning and adult education,LIFELONG LEARNING: INTERPRETATIONS OF AN EDUCATION POLICY IN EUROPE,,"The idea of Lifelong Learning and the educational concept of LLL are particularly compatible with adult education. This is shown, amongst other things, by the fact that the concept was received favourably and accepted very early in adult education, while in other areas of the education system it was ignored for a long time. The following chapter highlights the links between the LLL concept and adult education.",2008,,,67,88
J,"Biao, I",,,"Biao, Idowu",,Lifelong learning and African development,JOURNAL OF ADULT AND CONTINUING EDUCATION,,"This article that is located within the alternative knowledge systems paradigm, discusses both the ancient and modern concepts of lifelong learning in relation to Africa's development It identifies ancient Greece's education and African traditional education as two ancient lifelong learning typologies relevant to the current discussion. Ancient Greece's education is a forerunner to modern education while African traditional education is one typology of education that remains relevant to African developmental aspirations. The modern concept of lifelong learning highlighted in this article is the one made popular by the United Nations Educational Scientific and Cultural Organisation (UNESCO). The article reviews the socialisation processes and worldviews prevalent within the West and Africa alongside the 50%, 40% and 7% Africa's best primary, secondary and tertiary education success rates respectively and concludes that incongruity between the two socialisation processes and worldviews are responsible for this nearly two-century-old modest contribution of modern education to Africa's development. Consequently, the article concludes that only a combination of both modern and African lifelong learning would expedite Africa's socio-economic development.",2022,28,1,167,183
C,"Stefkova, P; Kips, M; Ridzonova, Z; Novota, M; Kadnar, J; Petnuchova, J",,"Uzunboylu, H","Stefkova, Petra; Kips, Milan; Ridzonova, Zuzana; Novota, Marian; Kadnar, Jozef; Petnuchova, Jana",,Lifelong learning within engineering pedagogy,CYPRUS INTERNATIONAL CONFERENCE ON EDUCATIONAL RESEARCH (CY-ICER-2012),Procedia Social and Behavioral Sciences,"The main essence of this study is to introduce and analyse the lifelong education, and also its inclusion into engineering pedagogy issues. We refer to its interconnections with engineering pedagogy too. We would like to refer to the present state of lifelong education in engineering pedagogy, especially in Slovakia. Within the frame of study, we deeply focus on the area of complementary teacher training belonging to the most important aspects in the education of engineers the future teachers of technicians in the vocational high schools. We will analyse its meaning, system, importance of position and mainly its importance in the area of engineering pedagogy.",2012,47,,1957,1959
J,"Jongbloed, B",,,"Jongbloed, B",,Lifelong learning: Implications for institutions,HIGHER EDUCATION,,"Lifelong learning poses a large number of threats and opportunities for the traditional higher education institutions. Not just programme offerings and means of delivery will have to be restructured, but, more fundamentally, universities and colleges will have to rethink and reshape their business concept, that is: their way of creating value and maintaining their competitive edge over other providers in the education system. It will be argued that a business concept that is based on the idea of creating value through enhancing differentiation requires higher education providers to move as much as they can to a student-centered provision of education and training. This has far-reaching consequences for the curriculum, the concept of research, the interaction with students, and the relationships with other institutions in the education system. It may very well lead to an education system in which there is room for some universities to transform themselves into dual-sector institutions, that contain both a higher education part and a vocational part.",2002,44,3-4,413,431
